tahun,bulan,kecamatan,curah_hujan,suhu,kelembapan
2023,Januari,BATUCEPER,345,27.4,88
2023,Januari,BENDA,290,28.0,82
2023,Januari,CIBODAS,356,28.0,93
2023,Januari,CIPONDOH,325,27.7,86
2023,Januari,JATIUWUNG,291,27.7,85
2023,Januari,KARANG TENGAH,339,27.8,93
2023,Januari,KARAWACI,312,28.3,92
2023,Januari,LARANGAN,336,27.5,89
2023,Januari,NEGLASARI,280,28.7,82
2023,Januari,PERIUK,347,28.0,87
2023,Januari,PINANG,324,27.3,91
2023,Januari,TANGERANG,307,27.4,85
2023,Januari,CILEDUG,331,28.2,89
2023,Februari,BATUCEPER,277,28.4,90
2023,Februari,BENDA,252,29.1,85
2023,Februari,CIBODAS,288,28.0,88
2023,Februari,CIPONDOH,326,27.4,85
2023,Februari,JATIUWUNG,262,28.6,84
2023,Februari,KARANG TENGAH,282,28.3,84
2023,Februari,KARAWACI,294,27.9,87
2023,Februari,LARANGAN,290,27.8,86
2023,Februari,NEGLASARI,292,28.3,79
2023,Februari,PERIUK,311,28.5,89
2023,Februari,PINANG,331,27.5,91
2023,Februari,TANGERANG,295,27.8,90
2023,Februari,CILEDUG,293,28.2,83
2023,Maret,BATUCEPER,239,28.9,85
2023,Maret,BENDA,220,28.6,80
2023,Maret,CIBODAS,269,28.8,86
2023,Maret,CIPONDOH,253,28.4,88
2023,Maret,JATIUWUNG,251,28.8,82
2023,Maret,KARANG TENGAH,235,28.0,89
2023,Maret,KARAWACI,254,28.3,86
2023,Maret,LARANGAN,267,28.3,84
2023,Maret,NEGLASARI,208,29.0,77
2023,Maret,PERIUK,271,28.2,80
2023,Maret,PINANG,244,28.4,88
2023,Maret,TANGERANG,259,28.0,86
2023,Maret,CILEDUG,267,29.0,89
2023,April,BATUCEPER,171,29.8,77
2023,April,BENDA,168,29.9,82
2023,April,CIBODAS,211,28.7,83
2023,April,CIPONDOH,177,28.7,81
2023,April,JATIUWUNG,169,28.9,79
2023,April,KARANG TENGAH,189,29.3,86
2023,April,KARAWACI,156,29.7,81
2023,April,LARANGAN,200,29.1,81
2023,April,NEGLASARI,139,29.5,75
2023,April,PERIUK,187,29.9,84
2023,April,PINANG,165,29.0,86
2023,April,TANGERANG,152,28.7,82
2023,April,CILEDUG,178,28.8,81
2023,Mei,BATUCEPER,131,30.4,74
2023,Mei,BENDA,111,30.3,71
2023,Mei,CIBODAS,151,29.7,76
2023,Mei,CIPONDOH,118,29.8,83
2023,Mei,JATIUWUNG,90,29.9,77
2023,Mei,KARANG TENGAH,110,30.2,77
2023,Mei,KARAWACI,135,29.8,78
2023,Mei,LARANGAN,128,30.3,81
2023,Mei,NEGLASARI,77,30.1,70
2023,Mei,PERIUK,114,29.5,80
2023,Mei,PINANG,119,29.7,75
2023,Mei,TANGERANG,95,30.1,73
2023,Mei,CILEDUG,113,29.3,74
